Clovis,City,Fresno,"95,631",23.28,60.3,27-Feb-12
Coachella,City,Riverside,"40,704",28.95,75,13-Dec-46
Coalinga,City,Fresno,"13,380",6.12,15.9,3-Apr-06
Colfax,City,Placer,"1,963",1.41,3.7,23-Feb-10
Colma,Town,San Mateo,"1,792",1.91,4.9,5-Aug-24
Colton,City,San Bernardino,"52,154",15.32,39.7,"July 11, 1887"
Colusa,City,Colusa,"5,971",1.83,4.7,"June 16, 1868"
Commerce,City,Los Angeles,"12,823",6.54,16.9,28-Jan-60
Compton,City,Los Angeles,"96,455",10.01,25.9,"May 11, 1888"
Concord,City,Contra Costa,"122,067",30.55,79.1,9-Feb-05
Corcoran,City,Kings,"24,813",7.47,19.3,11-Aug-14
Corning,City,Tehama,"7,663",3.55,9.2,6-Aug-07
Corona,City,Riverside,"152,374",38.83,100.6,"July 13, 1896"
Coronado,City,San Diego,"24,697",7.93,20.5,"December 11, 1890"
Corte Madera,Town,Marin,"9,253",3.16,8.2,10-Jun-16
Costa Mesa,City,Orange,"109,960",15.65,40.5,29-Jun-53
Cotati,City,Sonoma,"7,265",1.88,4.9,16-Jul-63
Covina,City,Los Angeles,"47,796",7.03,18.2,14-Aug-01
Crescent City,City,Del Norte,"7,643",1.96,5.1,"April 13, 1854"
Cudahy,City,Los Angeles,"23,805",1.18,3.1,10-Nov-60
Culver City,City,Los Angeles,"38,883",5.11,13.2,7-Sep-17
Cupertino,City,Santa Clara,"58,302",11.26,29.2,10-Oct-55
Cypress,City,Orange,"47,802",6.58,17,24-Jul-56
Daly City,City,San Mateo,"101,123",7.66,19.8,22-Mar-11
Dana Point,City,Orange,"33,351",6.5,16.8,1-Jan-89
Danville,Town,Contra Costa,"42,039",18.03,46.7,1-Jul-82
Davis,City,Yolo,"65,622",9.89,25.6,28-Mar-17
Del Mar,City,San Diego,"4,161",1.71,4.4,15-Jul-59
Del Rey Oaks,City,Monterey,"1,624",0.48,1.2,3-Sep-53
Delano,City,Kern,"53,041",14.3,37,13-Apr-15
Desert Hot Springs,City,Riverside,"25,938",23.62,61.2,25-Sep-63
Diamond Bar,City,Los Angeles,"55,544",14.88,38.5,18-Apr-89
Dinuba,City,Tulare,"21,453",6.47,16.8,6-Jan-06
Dixon,City,Solano,"18,351",7,18.1,"March 30, 1878"
Dorris,City,Siskiyou,939,0.7,1.8,23-Dec-08
Dos Palos,City,Merced,"4,950",1.35,3.5,24-May-35
Downey,City,Los Angeles,"111,772",12.41,32.1,17-Dec-56
Duarte,City,Los Angeles,"21,321",6.69,17.3,22-Aug-57
Dublin,City,Alameda,"46,036",14.91,38.6,1-Feb-82
Dunsmuir,City,Siskiyou,"1,650",1.7,4.4,7-Aug-09
East Palo Alto,City,San Mateo,"28,155",2.51,6.5,1-Jul-83
Eastvale,City,Riverside,"53,670[10]",13.1,34[10],1-Oct-10
El Cajon,City,San Diego,"99,478",14.43,37.4,12-Nov-12
El Centro,City,Imperial,"42,598",11.08,28.7,16-Apr-08
El Cerrito,City,Contra Costa,"23,549",3.69,9.6,23-Aug-17
El Monte,City,Los Angeles,"113,475",9.56,24.8,18-Nov-12
El Segundo,City,Los Angeles,"16,654",5.46,14.1,18-Jan-17
Elk Grove,City,Sacramento,"153,015",42.19,109.3,1-Jul-00
Emeryville,City,Alameda,"10,080",1.25,3.2,"December 8, 1896"
Encinitas,City,San Diego,"59,518",18.81,48.7,1-Oct-86
Escalon,City,San Joaquin,"7,132",2.3,6,12-Mar-57
Escondido,City,San Diego,"143,911",36.81,95.3,"October 8, 1888"
Etna,City,Siskiyou,737,0.76,2,"March 13, 1878"
Eureka,City,Humboldt,"27,191",9.38,24.3,"April 18, 1856"
Exeter,City,Tulare,"10,334",2.46,6.4,2-Mar-11
Fairfax,Town,Marin,"7,441",2.2,5.7,2-Mar-31
Fairfield,City,Solano,"105,321",37.39,96.8,12-Dec-03
Farmersville,City,Tulare,"10,588",2.26,5.9,5-Oct-60
Ferndale,City,Humboldt,"1,371",1.03,2.7,"August 28, 1893"
Fillmore,City,Ventura,"15,002",3.36,8.7,10-Jul-14
Firebaugh,City,Fresno,"7,549",3.46,9,17-Sep-14
Folsom,City,Sacramento,"72,203",21.95,56.9,20-Apr-46
Fontana,City,San Bernardino,"196,069",42.43,109.9,25-Jun-52
Fort Bragg,City,Mendocino,"7,273",2.75,7.1,"August 5, 1889"
Fort Jones,City,Siskiyou,839,0.6,1.6,"March 16, 1872"
Fortuna,City,Humboldt,"11,926",4.85,12.6,20-Jan-06
Foster City,City,San Mateo,"30,567",3.76,9.7,27-Apr-71
Fountain Valley,City,Orange,"55,313",9.02,23.4,13-Jun-57
Fowler,City,Fresno,"5,570",2.53,6.6,15-Jun-08
Fremont,City,Alameda,"214,089",77.46,200.6,23-Jan-56
Fresno,City,Fresno,"494,665",111.96,290,"October 12, 1885"
Fullerton,City,Orange,"135,161",22.35,57.9,15-Feb-04
Galt,City,Sacramento,"23,647",5.93,15.4,16-Aug-46
Garden Grove,City,Orange,"170,883",17.94,46.5,18-Jun-56
Gardena,City,Los Angeles,"58,829",5.83,15.1,11-Sep-30
Gilroy,City,Santa Clara,"48,821",16.15,41.8,"March 12, 1870"
Glendale,City,Los Angeles,"191,719",30.45,78.9,15-Feb-06
Glendora,City,Los Angeles,"50,073",19.39,50.2,13-Nov-11
Goleta,City,Santa Barbara,"29,888",7.9,20.5,1-Feb-02
Gonzales,City,Monterey,"8,187",1.92,5,14-Jan-47
Grand Terrace,City,San Bernardino,"12,040",3.5,9.1,30-Nov-78
Grass Valley,City,Nevada,"12,860",4.74,12.3,"March 13, 1893"
Greenfield,City,Monterey,"16,330",2.14,5.5,7-Jan-47
Gridley,City,Butte,"6,584",2.07,5.4,23-Nov-05
Grover Beach,City,San Luis Obispo,"13,156",2.31,6,21-Dec-59
Guadalupe,City,Santa Barbara,"7,080",1.31,3.4,3-Aug-46
Gustine,City,Merced,"5,520",1.55,4,11-Nov-15
Half Moon Bay,City,San Mateo,"11,324",6.42,16.6,15-Jul-59
Hanford,City,Kings,"53,967",16.59,43,"August 12, 1891"
Hawaiian Gardens,City,Los Angeles,"14,254",0.95,2.5,9-Apr-64
Hawthorne,City,Los Angeles,"84,293",6.08,15.7,12-Jul-22
Hayward,City,Alameda,"144,186",45.32,117.4,"March 11, 1876"
Healdsburg,City,Sonoma,"11,254",4.46,11.6,"February 20, 1867"
Hemet,City,Riverside,"78,657",27.85,72.1,20-Jan-10
Hercules,City,Contra Costa,"24,060",6.21,16.1,15-Dec-00
Hermosa Beach,City,Los Angeles,"19,506",1.43,3.7,14-Jan-07
Hesperia,City,San Bernardino,"90,173",73.1,189.3,1-Jul-88
